,Name,Handedness,Height,Weight,Batting Average (Hits/at bat),HR,BMI,State,Ave
51,Tony Muser,Left Handed,74,180,0.259,7,23.1589546119526,Normal,0.20~0.30
52,Jim Siwy,Right Handed,76,200,0,0,24.3956670235174,Normal,0.20~0.30
53,Bud Anderson,Right Handed,75,210,0,0,26.3030829091961,Overweight,0.20~0.30
54,Ted Ford,Right Handed,70,180,0.219,17,25.881313358174,Overweight,0.20~0.30
55,Kevin Stanfield,Left Handed,72,190,0,0,25.8225123633188,Overweight,0.20~0.30
56,Jim Lyttle,Left Handed,72,180,0.248,9,24.4634327652494,Normal,0.20~0.30
57,John Butcher,Right Handed,76,185,0,0,22.5659919967536,Normal,0.20~0.30
58,Jerry Ujdur,Right Handed,73,195,0,0,25.7809417169526,Overweight,0.20~0.30
59,Scot Thompson,Left Handed,75,195,0.262,5,24.424291272825,Normal,0.20~0.30
60,Gene Locklear,Left Handed,70,165,0.274,9,23.7245372449929,Normal,0.20~0.30
61,Bo Diaz,Right Handed,71,185,0.255,87,25.8562130079842,Overweight,0.20~0.30
62,Bump Wills,Both Handed,69,172,0.266,36,25.4530687977188,Overweight,0.20~0.30
63,Brian Denman,Right Handed,76,205,0,0,25.0055586991053,Overweight,0.20~0.30
64,Pat Putnam,Left Handed,72,205,0.255,63,27.8611317604229,Overweight,0.20~0.30
65,Kurt Bevacqua,Right Handed,72,180,0.236,27,24.4634327652494,Normal,0.20~0.30
66,Bob Fallon,Left Handed,75,200,0,0,25.0505551516153,Overweight,0.20~0.30
67,Syd O'Brien,Right Handed,73,185,0.23,24,24.4588421417243,Normal,0.20~0.30
68,Chris Chambliss,Left Handed,73,195,0.279,185,25.7809417169526,Overweight,0.20~0.30
69,Tom Satriano,Left Handed,73,185,0.225,21,24.4588421417243,Normal,0.20~0.30
70,Jeffrey Leonard,Right Handed,74,200,0.266,144,25.7321717910585,Overweight,0.20~0.30
71,Dal Maxvill,Right Handed,71,157,0.217,6,21.9428402283974,Normal,0.20~0.30
72,Steve Curry,Right Handed,78,217,0,0,25.1293013493922,Overweight,0.20~0.30
73,Cesar Tovar,Right Handed,69,155,0.278,46,22.9373585095722,Normal,0.20~0.30
74,Mickey Lolich,Both Handed,73,170,0.11,0,22.4756927788818,Normal,0.20~0.30
75,Ray Chadwick,Both Handed,74,180,0,0,23.1589546119526,Normal,0.20~0.30
76,Jack Heidemann,Right Handed,72,175,0.211,9,23.7838929662147,Normal,0.20~0.30
77,Rich Rollins,Right Handed,70,185,0.269,77,26.6002387292344,Overweight,0.20~0.30
78,Walt Bond,Left Handed,79,228,0.256,41,25.7389336500134,Overweight,0.20~0.30
79,Merv Rettenmund,Right Handed,70,190,0.271,66,27.3191641002948,Overweight,0.20~0.30
80,Bryan Clutterbuck,Right Handed,76,223,0,0,27.2011687312219,Overweight,0.20~0.30
81,Byron Browne,Right Handed,74,190,0.236,30,24.4455632015056,Normal,0.20~0.30
82,Hector Torres,Right Handed,72,175,0.216,18,23.7838929662147,Normal,0.20~0.30
83,Walt Williams,Right Handed,66,165,0.27,33,26.6873811984538,Overweight,0.20~0.30
84,Jerry Koosman,Right Handed,74,205,0.119,2,26.375476085835,Overweight,0.20~0.30
85,Steve Lombardozzi,Right Handed,72,175,0.233,20,23.7838929662147,Normal,0.20~0.30
86,Joe Azcue,Right Handed,72,190,0.252,50,25.8225123633188,Overweight,0.20~0.30
87,Elliott Maddox,Right Handed,71,180,0.261,18,25.1573964402009,Overweight,0.20~0.30
88,Omar Moreno,Left Handed,74,180,0.252,37,23.1589546119526,Normal,0.20~0.30
89,Julian Javier,Right Handed,73,175,0.257,78,23.1367425664959,Normal,0.20~0.30
90,Tony Ferreira,Left Handed,73,160,0,0,21.1535932036534,Normal,0.20~0.30
91,Elio Chacon,Right Handed,69,160,0.232,4,23.6772733002035,Normal,0.20~0.30
92,Rusty Torres,Both Handed,70,175,0.212,35,25.1623879871136,Overweight,0.20~0.30
93,John Stearns,Right Handed,72,185,0.26,46,25.1429725642841,Overweight,0.20~0.30
94,Larry Brown,Right Handed,70,160,0.233,47,23.0056118739325,Normal,0.20~0.30
95,Tommy Dean,Right Handed,72,165,0.18,4,22.4248133681452,Normal,0.20~0.30
96,Bryan Oelkers,Left Handed,75,192,0,0,24.0485329455507,Normal,0.20~0.30
97,Kevin Bearse,Left Handed,74,195,0,0,25.088867496282,Overweight,0.20~0.30
98,Marty Martinez,Both Handed,72,170,0.243,0,23.1043531671799,Normal,0.20~0.30
99,Bruce Boisclair,Left Handed,74,185,0.263,10,23.8022589067291,Normal,0.20~0.30
100,Ken Singleton,Both Handed,76,210,0.282,246,25.6154503746932,Overweight,0.20~0.30
101,Frank White,Right Handed,71,165,0.255,160,23.0609467368508,Normal,0.20~0.30
102,Jim Fairey,Left Handed,70,190,0.235,7,27.3191641002948,Overweight,0.20~0.30
103,Jose Roman,Right Handed,72,175,0,0,23.7838929662147,Normal,0.20~0.30
104,Tom Brookens,Right Handed,70,165,0.246,71,23.7245372449929,Normal,0.20~0.30
105,Gary Thomasson,Left Handed,73,180,0.249,61,23.7977923541101,Normal,0.20~0.30
106,Mike Trujillo,Right Handed,73,180,0,0,23.7977923541101,Normal,0.20~0.30
107,Albert Williams,Right Handed,76,190,0,0,23.1758836723415,Normal,0.20~0.30
108,Oswaldo Peraza,Right Handed,76,172,0,0,20.9802736402249,Normal,0.20~0.30
109,Otto Velez,Right Handed,72,170,0.251,78,23.1043531671799,Normal,0.20~0.30
110,Tony Scott,Both Handed,72,164,0.249,17,22.2889054083383,Normal,0.20~0.30
111,Ray Oyler,Right Handed,71,165,0.175,15,23.0609467368508,Normal,0.20~0.30
112,Barry Cort,Right Handed,77,210,0,0,24.9544343673854,Normal,0.20~0.30
113,Floyd Robinson,Left Handed,69,175,0.283,67,25.8970176720976,Overweight,0.20~0.30
114,Steve Jeltz,Both Handed,71,180,0.21,5,25.1573964402009,Overweight,0.20~0.30
115,Lou Brock,Left Handed,71,170,0.293,149,23.7597633046342,Normal,0.20~0.30
116,Bill Wilkinson,Right Handed,70,160,0,0,23.0056118739325,Normal,0.20~0.30
117,Joe Lovitto,Both Handed,72,185,0.216,4,25.1429725642841,Overweight,0.20~0.30
118,Mike Loynd,Right Handed,76,210,0,0,25.6154503746932,Overweight,0.20~0.30
119,Wayne Comer,Right Handed,70,175,0.229,16,25.1623879871136,Overweight,0.20~0.30
120,Dave Collins,Both Handed,71,175,0.272,32,24.4585798724175,Normal,0.20~0.30
121,Ed Spiezio,Right Handed,71,180,0.238,39,25.1573964402009,Overweight,0.20~0.30
122,Rico Petrocelli,Right Handed,72,175,0.251,210,23.7838929662147,Normal,0.20~0.30
123,Johnny Lewis,Left Handed,73,189,0.227,22,24.9876819718156,Normal,0.20~0.30
124,Dick Simpson,Right Handed,76,176,0.207,15,21.4681869806953,Normal,0.20~0.30
125,Ken Boswell,Left Handed,72,170,0.248,31,23.1043531671799,Normal,0.20~0.30
126,Ken McMullen,Right Handed,75,190,0.248,156,23.7980273940346,Normal,0.20~0.30
127,Randy Scarbery,Both Handed,73,185,0,0,24.4588421417243,Normal,0.20~0.30
128,Steve Swisher,Right Handed,74,205,0.216,20,26.375476085835,Overweight,0.20~0.30
129,Ben Callahan,Right Handed,79,230,0,0,25.9647137697503,Overweight,0.20~0.30
130,Dick Howser,Right Handed,68,155,0.248,16,23.616947202438,Normal,0.20~0.30
131,Manny Castillo,Both Handed,69,160,0.242,3,23.6772733002035,Normal,0.20~0.30
132,Mike Ramsey,Both Handed,73,170,0.24,2,22.4756927788818,Normal,0.20~0.30
133,Willie Crawford,Left Handed,73,197,0.268,86,26.0453616319983,Overweight,0.20~0.30
134,Bobby Cuellar,Right Handed,71,188,0,0,26.2755029486543,Overweight,0.20~0.30
135,Willie Norwood,Right Handed,72,185,0.242,18,25.1429725642841,Overweight,0.20~0.30
136,Mike Jones,Left Handed,78,215,0,0,24.8976948853425,Normal,0.20~0.30
137,Jeff Stone,Left Handed,72,175,0.277,11,23.7838929662147,Normal,0.20~0.30
138,Ramon Manon,Right Handed,72,150,0,0,20.3861939710411,Normal,0.20~0.30
139,Joe Lahoud,Left Handed,73,198,0.223,65,26.1775715895211,Overweight,0.20~0.30
140,Tim Flannery,Left Handed,71,175,0.255,9,24.4585798724175,Normal,0.20~0.30
141,Dave McKay,Both Handed,73,195,0.229,21,25.7809417169526,Overweight,0.20~0.30
142,John Trautwein,Right Handed,75,205,0,0,25.6768190304057,Overweight,0.20~0.30
143,Andy Replogle,Right Handed,77,205,0,0,24.360281168162,Normal,0.20~0.30
144,Zach Crouch,Left Handed,75,180,0,0,22.5454996364538,Normal,0.20~0.30
145,Benny Ayala,Right Handed,73,185,0.251,38,24.4588421417243,Normal,0.20~0.30
146,Ron Romanick,Right Handed,76,195,0,0,23.7857753479294,Normal,0.20~0.30
147,Greg Gross,Left Handed,70,160,0.287,7,23.0056118739325,Normal,0.20~0.30
148,Bruce Tanner,Left Handed,75,220,0,0,27.5556106667769,Overweight,0.20~0.30
149,Sal Butera,Right Handed,72,190,0.227,8,25.8225123633188,Overweight,0.20~0.30
150,Jack Brohamer,Left Handed,70,165,0.245,30,23.7245372449929,Normal,0.20~0.30
151,Von Joshua,Left Handed,70,170,0.273,30,24.4434626160532,Normal,0.20~0.30
152,Eddie Milner,Left Handed,71,173,0.253,42,24.1790532453042,Normal,0.20~0.30
153,Johnny Jeter,Right Handed,73,180,0.244,18,23.7977923541101,Normal,0.20~0.30
154,Angel Salazar,Right Handed,72,180,0.212,2,24.4634327652494,Normal,0.20~0.30
155,Tony Oliva,Left Handed,73,175,0.304,220,23.1367425664959,Normal,Above 0.30
156,Cito Gaston,Right Handed,75,190,0.256,91,23.7980273940346,Normal,0.20~0.30
157,Cookie Rojas,Right Handed,70,160,0.263,54,23.0056118739325,Normal,0.20~0.30
158,Rich Morales,Right Handed,71,170,0.195,6,23.7597633046342,Normal,0.20~0.30
159,Dave Ford,Right Handed,76,190,0,0,23.1758836723415,Normal,0.20~0.30
160,Dan Ford,Right Handed,73,185,0.27,121,24.4588421417243,Normal,0.20~0.30
161,Barry Raziano,Both Handed,70,175,0,0,25.1623879871136,Overweight,0.20~0.30
162,Darryl Motley,Right Handed,69,196,0.243,44,29.0046597927493,Overweight,0.20~0.30
163,Ozzie Virgil,Right Handed,73,180,0.243,98,23.7977923541101,Normal,0.20~0.30
164,Johnny Oates,Left Handed,71,188,0.25,14,26.2755029486543,Overweight,0.20~0.30
165,Pat Underwood,Left Handed,72,175,0,0,23.7838929662147,Normal,0.20~0.30
166,Mike Phillips,Left Handed,72,170,0.24,11,23.1043531671799,Normal,0.20~0.30
167,Ron Santo,Right Handed,72,190,0.277,342,25.8225123633188,Overweight,0.20~0.30
168,Jay Johnstone,Left Handed,73,175,0.267,102,23.1367425664959,Normal,0.20~0.30
169,Jim Ray Hart,Right Handed,71,185,0.278,170,25.8562130079842,Overweight,0.20~0.30
170,Marc Hill,Right Handed,75,205,0.223,34,25.6768190304057,Overweight,0.20~0.30
171,Joel McKeon,Left Handed,72,185,0,0,25.1429725642841,Overweight,0.20~0.30
172,Danny Fife,Right Handed,75,175,0,0,21.9192357576634,Normal,0.20~0.30
173,Chico Salmon,Right Handed,70,160,0.249,31,23.0056118739325,Normal,0.20~0.30
174,Joe Niekro,Right Handed,73,185,0.156,1,24.4588421417243,Normal,0.20~0.30
175,Andy Etchebarren,Right Handed,73,190,0.235,49,25.1198919293384,Overweight,0.20~0.30
176,Ken Berry,Right Handed,72,175,0.255,58,23.7838929662147,Normal,0.20~0.30
177,Dave Concepcion,Right Handed,74,155,0.267,101,19.9424331380703,Normal,0.20~0.30
178,Junior Moore,Right Handed,71,185,0.264,7,25.8562130079842,Overweight,0.20~0.30
179,Mike Richardt,Right Handed,72,170,0.226,4,23.1043531671799,Normal,0.20~0.30
180,Chris Brown,Right Handed,72,185,0.269,38,25.1429725642841,Overweight,0.20~0.30
181,Al Bumbry,Left Handed,68,170,0.281,54,25.9024582220287,Overweight,0.20~0.30
182,Al Downing,Right Handed,71,175,0.127,2,24.4585798724175,Normal,0.20~0.30
183,Bob Didier,Both Handed,72,190,0.229,0,25.8225123633188,Overweight,0.20~0.30
184,Jake Gibbs,Left Handed,72,180,0.233,25,24.4634327652494,Normal,0.20~0.30
185,Garry Hancock,Left Handed,72,175,0.247,12,23.7838929662147,Normal,0.20~0.30
186,Ed Kranepool,Left Handed,75,205,0.261,118,25.6768190304057,Overweight,0.20~0.30
187,Rick Rhoden,Right Handed,75,195,0.238,9,24.424291272825,Normal,0.20~0.30
188,Denny McLain,Right Handed,73,185,0.133,1,24.4588421417243,Normal,0.20~0.30
189,Chuck Hiller,Left Handed,71,170,0.243,20,23.7597633046342,Normal,0.20~0.30
190,Jorge Orta,Left Handed,70,170,0.278,130,24.4434626160532,Normal,0.20~0.30
191,Dave Cash,Right Handed,71,170,0.283,21,23.7597633046342,Normal,0.20~0.30
192,Bucky Dent,Right Handed,69,170,0.247,40,25.1571028814663,Overweight,0.20~0.30
193,Andy Beene,Right Handed,75,205,0,0,25.6768190304057,Overweight,0.20~0.30
194,Bruce Robbins,Left Handed,73,190,0,0,25.1198919293384,Overweight,0.20~0.30
195,Tony Gonzalez,Left Handed,69,170,0.286,103,25.1571028814663,Overweight,0.20~0.30
196,Leon Hooten,Right Handed,71,180,0,0,25.1573964402009,Overweight,0.20~0.30
197,Larry Haney,Right Handed,74,195,0.215,12,25.088867496282,Overweight,0.20~0.30
198,Billy Conigliaro,Right Handed,72,180,0.256,40,24.4634327652494,Normal,0.20~0.30
199,Gary Roenicke,Right Handed,75,205,0.247,121,25.6768190304057,Overweight,0.20~0.30
200,Don Lock,Right Handed,74,195,0.238,122,25.088867496282,Overweight,0.20~0.30
201,Billy Cowan,Right Handed,72,170,0.236,40,23.1043531671799,Normal,0.20~0.30
202,Billy Smith,Both Handed,74,185,0.23,17,23.8022589067291,Normal,0.20~0.30
203,Allan Ramirez,Right Handed,70,180,0,0,25.881313358174,Overweight,0.20~0.30
204,Tony Perez,Right Handed,74,175,0.279,379,22.5156503171762,Normal,0.20~0.30
205,Chuck Schilling,Right Handed,70,160,0.239,23,23.0056118739325,Normal,0.20~0.30
206,Hal McRae,Right Handed,71,180,0.29,191,25.1573964402009,Overweight,0.20~0.30
207,Dave Roberts,Right Handed,75,215,0.239,49,26.9293467879865,Overweight,0.20~0.30
208,Brian Allard,Right Handed,73,175,0,0,23.1367425664959,Normal,0.20~0.30
209,Jim Lefebvre,Both Handed,72,180,0.251,74,24.4634327652494,Normal,0.20~0.30
210,Fernando Arroyo,Right Handed,74,180,0,0,23.1589546119526,Normal,0.20~0.30
211,Gary Beare,Right Handed,76,205,0,0,25.0055586991053,Overweight,0.20~0.30
212,Charlie Spikes,Right Handed,75,215,0.246,65,26.9293467879865,Overweight,0.20~0.30
213,Brian Dubois,Left Handed,70,165,0,0,23.7245372449929,Normal,0.20~0.30
214,Steve Whitaker,Left Handed,72,180,0.23,24,24.4634327652494,Normal,0.20~0.30
215,Manny Jimenez,Left Handed,73,185,0.272,26,24.4588421417243,Normal,0.20~0.30
216,Chris Batton,Right Handed,76,195,0,0,23.7857753479294,Normal,0.20~0.30
217,Duffy Dyer,Right Handed,72,187,0.221,30,25.4147884838979,Overweight,0.20~0.30
218,Ken Henderson,Both Handed,74,180,0.257,122,23.1589546119526,Normal,0.20~0.30
219,Vance Lovelace,Left Handed,77,205,0,0,24.360281168162,Normal,0.20~0.30
220,Greg Thayer,Right Handed,71,182,0,0,25.4369230673142,Overweight,0.20~0.30
221,Vern Fuller,Right Handed,73,170,0.232,14,22.4756927788818,Normal,0.20~0.30
222,Paul Hartzell,Right Handed,77,200,0,0,23.7661279689385,Normal,0.20~0.30
223,Wayne Gross,Left Handed,74,210,0.233,121,27.0187803806114,Overweight,0.20~0.30
224,Mike Champion,Right Handed,72,185,0.229,2,25.1429725642841,Overweight,0.20~0.30
225,Ralph Botting,Left Handed,72,195,0,0,26.5020521623535,Overweight,0.20~0.30
226,Paul Casanova,Right Handed,76,180,0.225,50,21.9561003211656,Normal,0.20~0.30
227,Steve Rogers,Right Handed,74,175,0.138,0,22.5156503171762,Normal,0.20~0.30
228,Keith Creel,Right Handed,74,180,0,0,23.1589546119526,Normal,0.20~0.30
229,Terry Crowley,Left Handed,72,180,0.25,42,24.4634327652494,Normal,0.20~0.30
230,Horace Clarke,Both Handed,69,170,0.256,27,25.1571028814663,Overweight,0.20~0.30
231,Lou Clinton,Right Handed,73,185,0.247,65,24.4588421417243,Normal,0.20~0.30
232,Larry Cox,Right Handed,70,178,0.221,12,25.5937432097499,Overweight,0.20~0.30
233,Nate Colbert,Right Handed,74,190,0.243,173,24.4455632015056,Normal,0.20~0.30
234,Phil Roof,Right Handed,74,190,0.215,43,24.4455632015056,Normal,0.20~0.30
235,Chuck Hinton,Right Handed,73,180,0.264,113,23.7977923541101,Normal,0.20~0.30
236,Tim Cullen,Right Handed,73,185,0.22,9,24.4588421417243,Normal,0.20~0.30
237,Tim Harkness,Left Handed,74,182,0.235,14,23.4162763298632,Normal,0.20~0.30
238,Rick Bosetti,Right Handed,71,185,0.25,17,25.8562130079842,Overweight,0.20~0.30
239,Ron Pruitt,Right Handed,72,185,0.269,12,25.1429725642841,Overweight,0.20~0.30
240,George Foster,Right Handed,73,180,0.274,348,23.7977923541101,Normal,0.20~0.30
241,Jerry White,Both Handed,70,164,0.253,21,23.5807521707808,Normal,0.20~0.30
242,Angel Mangual,Right Handed,70,178,0.245,22,25.5937432097499,Overweight,0.20~0.30
243,Ken Gerhart,Right Handed,72,190,0.221,24,25.8225123633188,Overweight,0.20~0.30
244,Mike Hershberger,Right Handed,70,175,0.252,26,25.1623879871136,Overweight,0.20~0.30
245,Jim French,Left Handed,68,180,0.196,5,27.4261322350892,Overweight,0.20~0.30
246,Dave Roberts,Left Handed,75,195,0.194,7,24.424291272825,Normal,0.20~0.30
247,Jim Mason,Left Handed,74,185,0.203,12,23.8022589067291,Normal,0.20~0.30
248,Mike Smith,Right Handed,75,180,0,0,22.5454996364538,Normal,0.20~0.30
249,Willie Smith,Left Handed,72,182,0.248,46,24.7352486848632,Normal,0.20~0.30
250,T.R. Bryden,Right Handed,76,190,0,0,23.1758836723415,Normal,0.20~0.30
251,Jose Arcia,Right Handed,75,170,0.215,1,21.292971878873,Normal,0.20~0.30
252,Leon Durham,Left Handed,73,185,0.277,147,24.4588421417243,Normal,0.20~0.30
253,Tom Makowski,Right Handed,71,185,0,0,25.8562130079842,Overweight,0.20~0.30
254,Paul Householder,Both Handed,72,180,0.236,29,24.4634327652494,Normal,0.20~0.30
255,Aurelio Rodriguez,Right Handed,70,180,0.237,124,25.881313358174,Overweight,0.20~0.30
256,Jimmy Stewart,Both Handed,72,165,0.237,8,22.4248133681452,Normal,0.20~0.30
257,Dick Phillips,Left Handed,72,180,0.229,12,24.4634327652494,Normal,0.20~0.30
258,Andres Thomas,Right Handed,73,170,0.234,42,22.4756927788818,Normal,0.20~0.30
259,Ed Crosby,Left Handed,74,175,0.22,0,22.5156503171762,Normal,0.20~0.30
260,Mike de la Hoz,Right Handed,71,175,0.251,25,24.4585798724175,Normal,0.20~0.30
261,Frank Taveras,Right Handed,72,155,0.255,2,21.0657337700758,Normal,0.20~0.30
262,Joe Nossek,Right Handed,72,178,0.228,3,24.1916168456355,Normal,0.20~0.30
263,Larry Stahl,Left Handed,72,175,0.232,36,23.7838929662147,Normal,0.20~0.30
264,Jose Cruz,Left Handed,72,170,0.284,165,23.1043531671799,Normal,0.20~0.30
265,Don Mason,Left Handed,71,160,0.205,3,22.3621301690675,Normal,0.20~0.30
266,Bill Robinson,Right Handed,74,189,0.258,166,24.3169023425503,Normal,0.20~0.30
267,Jim Umbarger,Left Handed,78,200,0,0,23.1606464049698,Normal,0.20~0.30
268,Sal Bando,Right Handed,72,195,0.254,242,26.5020521623535,Overweight,0.20~0.30
269,George Mitterwald,Right Handed,74,195,0.236,76,25.088867496282,Overweight,0.20~0.30
270,Mike Darr,Right Handed,76,190,0,0,23.1758836723415,Normal,0.20~0.30
271,Craig Robinson,Right Handed,70,165,0.219,0,23.7245372449929,Normal,0.20~0.30
272,Bob Tillman,Right Handed,76,205,0.232,79,25.0055586991053,Overweight,0.20~0.30
273,Curt Wardle,Left Handed,77,220,0,0,26.1427407658323,Overweight,0.20~0.30
274,Pat Corrales,Right Handed,72,180,0.216,4,24.4634327652494,Normal,0.20~0.30
275,Mike Tyson,Right Handed,69,170,0.241,27,25.1571028814663,Overweight,0.20~0.30
276,Rafael Landestoy,Both Handed,70,165,0.237,4,23.7245372449929,Normal,0.20~0.30
277,Duane Josephson,Right Handed,72,190,0.258,23,25.8225123633188,Overweight,0.20~0.30
278,Duane Walker,Left Handed,72,185,0.229,24,25.1429725642841,Overweight,0.20~0.30
279,Glenn Hubbard,Right Handed,69,150,0.244,70,22.1974437189408,Normal,0.20~0.30
280,Roger Freed,Right Handed,72,190,0.245,22,25.8225123633188,Overweight,0.20~0.30
281,George Hendrick,Right Handed,75,195,0.278,267,24.424291272825,Normal,0.20~0.30
282,Rod Carew,Left Handed,72,170,0.328,92,23.1043531671799,Normal,Above 0.30
283,Bob Davis,Right Handed,72,180,0.197,6,24.4634327652494,Normal,0.20~0.30
284,Toby Harrah,Right Handed,72,175,0.264,195,23.7838929662147,Normal,0.20~0.30
285,Rick Manning,Left Handed,73,180,0.257,56,23.7977923541101,Normal,0.20~0.30
286,Israel Sanchez,Left Handed,69,170,0,0,25.1571028814663,Overweight,0.20~0.30
287,Steve Burke,Both Handed,74,200,0,0,25.7321717910585,Overweight,0.20~0.30
288,Gary Matthews,Right Handed,74,185,0.281,234,23.8022589067291,Normal,0.20~0.30
289,Cesar Geronimo,Left Handed,72,165,0.258,51,22.4248133681452,Normal,0.20~0.30
290,Billy Bryan,Left Handed,76,200,0.216,41,24.3956670235174,Normal,0.20~0.30
291,Terry Taylor,Right Handed,73,180,0,0,23.7977923541101,Normal,0.20~0.30
292,Terry Whitfield,Left Handed,73,197,0.281,33,26.0453616319983,Overweight,0.20~0.30
293,Mario Mendoza,Right Handed,71,170,0.215,4,23.7597633046342,Normal,0.20~0.30
294,Fred Lynn,Left Handed,73,185,0.283,306,24.4588421417243,Normal,0.20~0.30
295,Larry Hisle,Right Handed,74,193,0.273,166,24.8315457783714,Normal,0.20~0.30
296,Graig Nettles,Left Handed,72,180,0.248,390,24.4634327652494,Normal,0.20~0.30
297,Randy Nosek,Right Handed,76,215,0,0,26.2253420502812,Overweight,0.20~0.30
298,Dave Engle,Right Handed,75,210,0.262,31,26.3030829091961,Overweight,0.20~0.30
299,Narciso Elvira,Left Handed,70,160,0,0,23.0056118739325,Normal,0.20~0.30
300,Mike Easler,Left Handed,72,190,0.293,118,25.8225123633188,Overweight,0.20~0.30
301,Mark Smith,Right Handed,74,215,0,0,27.6620846753879,Overweight,0.20~0.30
302,Paul Mitchell,Right Handed,73,195,0,0,25.7809417169526,Overweight,0.20~0.30
